MDID,SEDOL,ISIN,SecurityCode,CUSIP,Ticker,AssetType,AssetSubType,ShareClass,SecurityName,Price,AssetCurrency,CountryOfIssue,CountryOfIncorporation,HomeMemeberState,HomeMemeberStateDR,HomeMemeberStateSSR,MarketsListedIn,StockExchange,IndustryGroupId,TotalSharesOutstanding,TotalSharesIssued,TotalSharesTreasury,TotalVotingSharesIssued,TotalVotingSharesOutstanding,TotalVotingRightsIssued,TotalVotingRightsOutstanding,TotalDilutedShares,ClassSharesOutstanding,ClassSharesIssued,ClassSharesTreasury,ClassVotingSharesIssued,ClassVotingSharesOutstanding,ClassVotingRightsIssued,ClassVotingRightsOutstanding,VotesPerShare,ClassDebtOutstanding,TotalDebtOutstanding,TotalIssuedNominalCapital,RegisteredShareCapital,13FFlag,ShortSellFlag,TakeoverFlag,CallOrPut,ConvertibleFlag,ConversionRatioBond,ConversionRatioRights,ConversionRatioPreferredEquity,ConversionRatioWarrants,ContractSize,Delta,AssetRatioAgainst,AssetRatioFor,UnderlyingMDID,UnderlyingExchangeCode,UnderlyingISIN,UnderlyingSEDOL,IsCashSettled,MaturityDate,OptionNextExerciseDate,ExerciseStyle,ExpirationDate,Notional,ParValue,DurationAdjustment,InControlOfConversion,IsCoveredConvertible,IsCoveredWarrant,IsETF,IsGovernmentBacked,IsREIT,IsWhenIssued,IsConvertiblePreferred,LotSize,HasAlternateUSSection12Registration,IssuerID,IssuerName,RegistrationType,RegistrationNo,AddressLine1,AddressLine2,AddressLine3,Telephone,Fax,ContactName,Designation,ContactEmail,ContactNo,ContactFaxNo,TypeOfIssuer,StrikePrice,FIGINumber
AU000000RIO1 AU,,AU000000RIO1,,,RIO,Common Stock,ODSH,,Rio Tinto Ltd,,AUD,AU,AU,,,,,ASX,0,1624053000,1624053000,0,1624053000,1624053000,1624052966,1624052966,1631500000,371216000,371170700,0,371216000,371216000,371216000,371216000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112717,Rio Tinto Ltd,,,,,,,,,,,,,,,
AU000000S320 AU,,AU000000S320,,,S32,Common Stock,ODSH,,South32 Ltd,,AUD,AU,AU,,,,,ASX,0,4522030000,4537720000,15690000,4537719999,4522030000,4522029926,4522029926,4519000000,4522030000,4167510000,15690000,4537720000,4522030000,4537719999,4522030000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41848797,South32 Ltd,,,,,,,,,,,,,,,
AU000000SFR8 AU,,AU000000SFR8,,,SFR,Common Stock,ODSH,,Sandfire Resources Ltd,,AUD,AU,AU,,,,,ASX,0,458705200,458705200,0,458705200,458705200,458705193,458705193,457030000,458705000,452166100,0,458705000,458705000,458705000,458705000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8627875,Sandfire Resources Ltd,,,,,,,,,,,,,,,
AU000000WHC8 AU,,AU000000WHC8,,,WHC,Common Stock,ODSH,,Whitehaven Coal Ltd,,AUD,AU,AU,,,,,ASX,0,836600800,836600800,0,836600800,836600800,836600784,836600784,809602000,836601000,793059800,0,836601000,836601000,836601000,836601000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11984275,Whitehaven Coal Ltd,,,,,,,,,,,,,,,
AU0000018236 AU,,AU0000018236,,,NIC,Common Stock,ODSH,,Nickel Industries Ltd,,AUD,AU,AU,,,,,ASX,0,4289810000,4289810000,0,4289810000,4289810000,4289809880,4289809880,4285810000,4289810000,2856270000,0,4289810000,4289810000,4289810000,4289810000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61023919,Nickel Industries Ltd,,,,,,,,,,,,,,,
AU0000159329 CA,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU0000224040 AU,,AU0000224040,,,WDS,Common Stock,ODSH,,Woodside Energy Group Ltd,,AUD,AU,AU,,,,,ASX,0,1898750000,1898750000,0,1898750000,1898750000,1898749771,1898749771,1910943000,1898750000,1898545000,0,1898750000,1898750000,1898750000,1898750000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113147,Woodside Energy Group Ltd,,,,,,,,,,,,,,,
AU0000297962 US,,AU0000297962,,,NEMCL,CDI,CDI,,Newmont Corp,,USD,US,US,,,,,PNK,0,1138450400,1138450400,0,1138450400,1138450400,0,0,0,1138450000,0,0,1138450000,1138450000,0,0,,,,,,,,,,,,,,,,,,1.0,BBG000BPWYG4,,,,,,,,,,,,,,,,,,,,,,101068,Newmont Corp,,,,,,,,,,,,,,,
BRVALEACNOR0 BR,,BRVALEACNOR0,,,VALE3,Common Stock,ODSH,,Vale SA,,BRL,BR,BR,,,,,SAO,0,4539008000,4778158000,239150000,4778157987,4539007987,4539007568,4539007568,4366130000,4539008000,2896541000,239150000,4778158000,4539008000,4778157999,4539008000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136117,Vale SA,,,,,,,,,,,,,,,
CA0084741085 CA,,CA0084741085,,008474108,AEM,Common Stock,ODSH,,Agnico Eagle Mines Ltd,,CAD,CA,CA,,,,,TOR,0,501738800,502408800,670000,502408800,501738800,501738834,501738834,489913000,501739000,501017800,670000,502409000,501739000,502409000,501739000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71820725,Agnico Eagle Mines Ltd,,,,,,,,,,,,,,,
