RuleId,RootId,PrevId,SysID,RuleCode,StockExchangeId,DisclosureLevelId,RepEntityId,EntityId,RuleBasisId,RuleTypeId,RuleCategoryId,RuleNumeratorTypeId,TriggerRate,TriggerMin,TriggerMax,MinLong,MinCap,RateNumerator,RateDenominator,IndustryGroupId,SpecialConditionId,TransactionalReportFlag,Remark,RuleStateId,ApprovedDate,LastRejectedDT,LastRejectedBy,ReviewComment,EffectiveDate,Active,CreatedDT,CreatedBy,ModifiedDT,ModifiedBy,CountryCode,UploadRuleFileId
,,,DE0013,DESSD013,,1,1,,9,22,1,2,0.1000,0.0500,0.1500,,,10,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0014,DESSD014,,1,1,,9,22,1,2,0.1500,0.1000,0.2000,,,15,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0015,DESSD015,,1,1,,9,22,1,2,0.2000,0.1500,0.2500,,,20,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0016,DESSD016,,1,1,,9,22,1,2,0.2500,0.2000,0.3000,,,25,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0017,DESSD017,,1,1,,9,22,1,2,0.3000,0.2500,0.5000,,,30,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0018,DESSD018,,1,1,,9,22,1,2,0.5000,0.3000,0.7500,,,50,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0019,DESSD019,,1,1,,9,22,1,2,0.7500,0.5000,1.0000,,,75,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0020,DESSD020,,1,1,,9,51,1,2,0.0300,0.0000,0.0300,,,3,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0021,DESSN001,,2,1,,1,1,4,1,0.0010,0.0010,1.0000,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0022,DESSN002,,2,1,,1,21,4,1,0.0010,0.0010,1.0000,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
